iter	RMSE
0	20573.48702
1	18665.10205
2	16970.81006
3	15447.37449
4	14093.48854
5	12885.73816
6	11818.65513
7	10876.21643
8	10040.02251
9	9330.189757
10	8677.29155
11	8088.684246
12	7577.485687
13	7116.781601
14	6724.524194
15	6385.751194
16	6097.589919
17	5849.808649
18	5635.727736
19	5445.558379
20	5282.403333
21	5146.242003
22	5037.173614
23	4937.651451
24	4854.30872
25	4785.316031
26	4727.392421
27	4658.93428
28	4613.477641
29	4576.2362
30	4536.268055
31	4502.857147
32	4467.977576
33	4441.450921
34	4414.940196
35	4386.648567
36	4369.124441
37	4344.57761
38	4326.100758
39	4314.180773
40	4297.639506
41	4272.823858
42	4255.966935
43	4240.385479
44	4230.054901
45	4219.703457
46	4205.704743
47	4194.173033
48	4181.274628
49	4173.762111
50	4166.158857
51	4159.916213
52	4154.333943
53	4142.891785
54	4130.367557
55	4120.77324
56	4110.078032
57	4098.64039
58	4093.882146
59	4081.346153
60	4073.446024
61	4064.532529
62	4058.023008
63	4042.962279
64	4032.805659
65	4021.835413
66	4013.848566
67	4006.39091
68	3998.48527
69	3985.370901
70	3981.982714
71	3974.612557
72	3965.824287
73	3963.131566
74	3953.224336
75	3946.520175
76	3938.199099
77	3932.679189
78	3929.080249
79	3924.092828
80	3917.202357
81	3912.87044
82	3906.727319
83	3894.041305
84	3887.660823
85	3883.850803
86	3880.291634
87	3870.270019
88	3867.988188
89	3861.606004
90	3857.853355
91	3853.320007
92	3848.28072
93	3843.642508
94	3840.568658
95	3834.689344
96	3825.284901
97	3817.863564
98	3814.621632
99	3804.479363
