iter	Passed	Remaining
0	155	155453
1	167	83551
2	179	59533
3	191	47563
4	202	40331
5	214	35531
6	226	32105
7	237	29461
8	248	27388
9	259	25716
10	271	24411
11	283	23305
12	294	22337
13	305	21521
14	316	20805
15	328	20199
16	340	19674
17	351	19187
18	363	18750
19	374	18340
20	385	17984
21	397	17689
22	409	17405
23	420	17119
24	432	16868
25	443	16631
26	455	16409
27	466	16199
28	479	16039
29	490	15864
30	502	15700
31	513	15546
32	525	15396
33	537	15260
34	549	15156
35	563	15081
36	576	14992
37	589	14916
38	601	14817
39	614	14752
40	627	14675
41	640	14608
42	653	14536
43	665	14461
44	678	14396
45	690	14327
46	702	14240
47	714	14170
48	726	14097
49	737	14021
50	749	13951
51	762	13891
52	773	13823
53	784	13746
54	796	13678
55	807	13617
56	820	13566
57	831	13500
58	843	13453
59	854	13387
60	865	13328
61	877	13274
62	888	13218
63	900	13175
64	912	13128
65	924	13083
66	935	13033
67	947	12984
68	958	12934
69	970	12891
70	982	12851
71	994	12813
72	1005	12768
73	1017	12735
74	1030	12705
75	1041	12660
76	1053	12624
77	1065	12595
78	1077	12560
79	1088	12520
80	1101	12495
81	1112	12459
82	1124	12421
83	1135	12386
84	1147	12349
85	1158	12317
86	1170	12286
87	1184	12274
88	1198	12265
89	1211	12253
90	1223	12224
91	1235	12193
92	1247	12165
93	1259	12137
94	1271	12113
95	1283	12088
96	1295	12058
97	1306	12028
98	1318	12003
99	1332	11991
100	1344	11971
101	1357	11947
102	1369	11925
103	1381	11900
104	1393	11877
105	1404	11848
106	1416	11819
107	1428	11801
108	1440	11775
109	1452	11751
110	1464	11732
111	1476	11705
112	1488	11682
113	1500	11662
114	1512	11641
115	1524	11616
116	1538	11610
117	1552	11602
118	1564	11583
119	1576	11559
120	1588	11540
121	1600	11515
122	1611	11491
123	1623	11469
124	1635	11449
125	1647	11427
126	1658	11403
127	1671	11384
128	1682	11358
129	1693	11336
130	1705	11310
131	1716	11287
132	1729	11273
133	1740	11248
134	1751	11225
135	1763	11202
136	1774	11178
137	1786	11156
138	1798	11140
139	1810	11122
140	1821	11099
141	1832	11074
142	1844	11053
143	1857	11042
144	1869	11020
145	1881	11006
146	1895	11000
147	1908	10984
148	1920	10968
149	1932	10948
150	1943	10928
151	1954	10906
152	1966	10887
153	1978	10868
154	1990	10851
155	2003	10838
156	2015	10822
157	2027	10802
158	2039	10789
159	2051	10770
160	2063	10754
161	2076	10739
162	2087	10718
163	2098	10697
164	2111	10686
165	2124	10671
166	2135	10649
167	2147	10637
168	2160	10624
169	2172	10606
170	2183	10586
171	2196	10575
172	2209	10560
173	2220	10541
174	2232	10523
175	2244	10507
176	2256	10490
177	2267	10471
178	2279	10453
179	2291	10438
180	2303	10422
181	2315	10409
182	2327	10391
183	2340	10380
184	2354	10374
185	2368	10365
186	2380	10349
187	2392	10334
188	2404	10315
189	2415	10298
190	2427	10282
191	2439	10264
192	2450	10247
193	2463	10234
194	2475	10219
195	2488	10207
196	2499	10189
197	2513	10179
198	2525	10163
199	2536	10147
200	2548	10131
201	2561	10117
202	2573	10103
203	2585	10088
204	2597	10073
205	2610	10061
206	2623	10049
207	2634	10033
208	2646	10014
209	2659	10003
210	2671	9989
211	2684	9978
212	2696	9962
213	2708	9947
214	2720	9934
215	2732	9918
216	2744	9901
217	2756	9888
218	2768	9871
219	2779	9853
220	2790	9836
221	2801	9818
222	2812	9800
223	2825	9788
224	2836	9771
225	2849	9757
226	2861	9743
227	2873	9728
228	2884	9711
229	2896	9695
230	2908	9683
231	2920	9668
232	2933	9656
233	2947	9647
234	2959	9634
235	2972	9621
236	2983	9606
237	2995	9590
238	3007	9577
239	3019	9562
240	3031	9547
241	3043	9531
242	3054	9516
243	3066	9501
244	3079	9489
245	3090	9473
246	3103	9459
247	3116	9448
248	3129	9437
249	3141	9424
250	3152	9408
251	3164	9393
252	3175	9376
253	3188	9363
254	3200	9351
255	3213	9340
256	3226	9328
257	3237	9311
258	3249	9296
259	3261	9283
260	3273	9268
261	3285	9253
262	3298	9242
263	3309	9226
264	3320	9210
265	3332	9195
266	3344	9182
267	3357	9171
268	3370	9159
269	3382	9145
270	3397	9138
271	3410	9127
272	3422	9114
273	3434	9100
274	3446	9087
275	3458	9073
276	3470	9058
277	3481	9042
278	3493	9028
279	3506	9017
280	3520	9007
281	3532	8994
282	3545	8981
283	3557	8969
284	3569	8954
285	3581	8940
286	3592	8925
287	3604	8910
288	3615	8895
289	3627	8880
290	3640	8869
291	3652	8855
292	3663	8840
293	3676	8827
294	3688	8814
295	3701	8802
296	3713	8790
297	3725	8776
298	3737	8762
299	3748	8746
300	3761	8734
301	3773	8721
302	3785	8708
303	3797	8693
304	3808	8679
305	3821	8667
306	3834	8655
307	3846	8643
308	3858	8628
309	3870	8615
310	3882	8601
311	3894	8588
312	3907	8575
313	3919	8561
314	3932	8552
315	3946	8541
316	3957	8527
317	3970	8514
318	3981	8499
319	3994	8488
320	4006	8475
321	4018	8460
322	4029	8445
323	4041	8432
324	4052	8417
325	4065	8405
326	4076	8390
327	4088	8375
328	4100	8363
329	4113	8351
330	4125	8337
331	4137	8325
332	4149	8311
333	4160	8296
334	4171	8281
335	4184	8269
336	4195	8254
337	4207	8241
338	4220	8228
339	4231	8214
340	4242	8199
341	4254	8184
342	4266	8173
343	4279	8161
344	4291	8147
345	4302	8133
346	4315	8120
347	4327	8107
348	4338	8092
349	4349	8078
350	4362	8065
351	4376	8056
352	4390	8046
353	4401	8032
354	4414	8020
355	4426	8007
356	4438	7994
357	4451	7982
358	4463	7970
359	4475	7956
360	4486	7942
361	4500	7931
362	4513	7919
363	4525	7906
364	4537	7893
365	4549	7880
366	4561	7868
367	4574	7856
368	4587	7843
369	4599	7831
370	4610	7816
371	4622	7804
372	4636	7793
373	4648	7780
374	4661	7769
375	4673	7756
376	4685	7743
377	4698	7731
378	4710	7717
379	4721	7703
380	4735	7693
381	4749	7683
382	4762	7672
383	4775	7660
384	4787	7647
385	4800	7635
386	4812	7622
387	4823	7608
388	4834	7594
389	4847	7582
390	4861	7571
391	4872	7557
392	4884	7543
393	4895	7529
394	4906	7515
395	4918	7501
396	4930	7489
397	4943	7477
398	4957	7467
399	4971	7457
400	4983	7444
401	4995	7430
402	5008	7418
403	5020	7406
404	5032	7393
405	5043	7379
406	5055	7366
407	5067	7353
408	5078	7338
409	5091	7326
410	5103	7313
411	5114	7299
412	5125	7285
413	5136	7270
414	5149	7258
415	5161	7245
416	5173	7233
417	5184	7219
418	5196	7206
419	5209	7194
420	5222	7181
421	5234	7169
422	5246	7156
423	5257	7142
424	5270	7130
425	5282	7117
426	5295	7105
427	5308	7094
428	5321	7082
429	5333	7070
430	5345	7057
431	5358	7044
432	5369	7031
433	5381	7017
434	5392	7004
435	5405	6992
436	5416	6978
437	5427	6964
438	5439	6951
439	5451	6938
440	5464	6926
441	5476	6913
442	5491	6904
443	5504	6892
444	5517	6881
445	5528	6867
446	5541	6855
447	5553	6842
448	5565	6830
449	5577	6817
450	5589	6804
451	5602	6792
452	5614	6779
453	5626	6767
454	5638	6754
455	5652	6742
456	5664	6730
457	5676	6717
458	5688	6704
459	5700	6691
460	5712	6678
461	5723	6665
462	5735	6652
463	5748	6640
464	5760	6627
465	5772	6614
466	5784	6602
467	5796	6589
468	5808	6576
469	5821	6565
470	5833	6552
471	5846	6539
472	5857	6526
473	5870	6514
474	5883	6502
475	5895	6490
476	5907	6477
477	5919	6464
478	5931	6451
479	5944	6439
480	5955	6426
481	5967	6413
482	5979	6400
483	5995	6391
484	6008	6379
485	6020	6367
486	6033	6355
487	6045	6343
488	6058	6330
489	6070	6318
490	6082	6305
491	6093	6292
492	6105	6278
493	6117	6266
494	6129	6253
495	6141	6240
496	6152	6226
497	6164	6214
498	6177	6202
499	6189	6189
500	6200	6175
501	6212	6163
502	6224	6150
503	6237	6138
504	6248	6124
505	6260	6112
506	6273	6099
507	6284	6086
508	6297	6075
509	6310	6062
510	6322	6050
511	6335	6038
512	6347	6026
513	6360	6013
514	6372	6001
515	6384	5988
516	6396	5975
517	6408	5963
518	6420	5950
519	6433	5938
520	6447	5928
521	6461	5916
522	6473	5904
523	6486	5892
524	6498	5879
525	6510	5867
526	6523	5855
527	6535	5842
528	6548	5830
529	6559	5817
530	6571	5804
531	6583	5791
532	6596	5779
533	6609	5767
534	6620	5754
535	6632	5741
536	6644	5728
537	6657	5716
538	6669	5704
539	6682	5692
540	6694	5679
541	6707	5667
542	6719	5655
543	6731	5642
544	6743	5629
545	6756	5617
546	6767	5604
547	6780	5592
548	6792	5579
549	6804	5567
550	6817	5555
551	6829	5543
552	6842	5530
553	6854	5517
554	6865	5504
555	6878	5492
556	6889	5479
557	6901	5467
558	6912	5453
559	6924	5440
560	6936	5427
561	6948	5415
562	6960	5402
563	6973	5390
564	6986	5378
565	7000	5367
566	7013	5356
567	7026	5343
568	7038	5331
569	7050	5319
570	7062	5306
571	7074	5293
572	7086	5280
573	7097	5267
574	7109	5254
575	7121	5242
576	7132	5228
577	7144	5216
578	7156	5203
579	7169	5191
580	7181	5179
581	7194	5166
582	7205	5153
583	7217	5140
584	7228	5128
585	7240	5115
586	7251	5101
587	7263	5089
588	7277	5077
589	7289	5065
590	7302	5053
591	7314	5041
592	7327	5028
593	7338	5016
594	7349	5002
595	7362	4990
596	7375	4978
597	7387	4966
598	7399	4953
599	7412	4941
600	7424	4929
601	7437	4917
602	7449	4904
603	7464	4893
604	7479	4883
605	7492	4871
606	7504	4858
607	7516	4845
608	7528	4833
609	7540	4821
610	7553	4809
611	7566	4796
612	7578	4784
613	7590	4771
614	7601	4758
615	7613	4746
616	7625	4733
617	7638	4721
618	7649	4708
619	7661	4695
620	7673	4683
621	7685	4670
622	7697	4657
623	7708	4644
624	7720	4632
625	7731	4619
626	7744	4607
627	7756	4594
628	7767	4581
629	7778	4568
630	7790	4555
631	7802	4543
632	7815	4530
633	7826	4518
634	7839	4505
635	7851	4493
636	7865	4482
637	7878	4470
638	7890	4457
639	7905	4446
640	7917	4434
641	7930	4422
642	7943	4410
643	7955	4397
644	7967	4385
645	7979	4372
646	7991	4360
647	8002	4347
648	8013	4334
649	8026	4321
650	8039	4309
651	8050	4297
652	8063	4284
653	8074	4271
654	8086	4259
655	8098	4246
656	8110	4234
657	8121	4221
658	8133	4208
659	8145	4195
660	8157	4183
661	8169	4170
662	8181	4158
663	8194	4146
664	8206	4133
665	8218	4121
666	8231	4109
667	8247	4099
668	8262	4087
669	8274	4075
670	8286	4063
671	8299	4050
672	8312	4038
673	8324	4026
674	8336	4013
675	8349	4002
676	8362	3989
677	8374	3977
678	8387	3965
679	8399	3952
680	8411	3940
681	8422	3927
682	8435	3915
683	8448	3903
684	8461	3890
685	8473	3878
686	8484	3865
687	8497	3853
688	8509	3840
689	8521	3828
690	8532	3815
691	8544	3802
692	8555	3790
693	8567	3777
694	8579	3765
695	8592	3752
696	8604	3740
697	8616	3728
698	8630	3716
699	8642	3703
700	8656	3692
701	8668	3679
702	8681	3667
703	8693	3655
704	8705	3642
705	8717	3630
706	8729	3617
707	8740	3604
708	8752	3592
709	8765	3580
710	8777	3567
711	8789	3555
712	8800	3542
713	8813	3530
714	8824	3517
715	8836	3505
716	8848	3492
717	8860	3479
718	8871	3467
719	8883	3454
720	8894	3441
721	8907	3429
722	8920	3417
723	8933	3405
724	8948	3394
725	8960	3381
726	8971	3369
727	8983	3356
728	8995	3344
729	9007	3331
730	9018	3318
731	9030	3306
732	9043	3294
733	9055	3281
734	9067	3269
735	9078	3256
736	9089	3243
737	9101	3231
738	9113	3218
739	9125	3206
740	9138	3194
741	9150	3181
742	9161	3168
743	9173	3156
744	9186	3144
745	9199	3132
746	9211	3119
747	9224	3107
748	9237	3095
749	9249	3083
750	9261	3070
751	9274	3058
752	9287	3046
753	9300	3034
754	9313	3022
755	9325	3009
756	9337	2997
757	9350	2985
758	9362	2972
759	9374	2960
760	9387	2948
761	9400	2936
762	9412	2923
763	9426	2911
764	9440	2899
765	9453	2887
766	9465	2875
767	9477	2862
768	9489	2850
769	9502	2838
770	9513	2825
771	9524	2813
772	9536	2800
773	9548	2788
774	9560	2775
775	9573	2763
776	9585	2750
777	9598	2738
778	9610	2726
779	9623	2714
780	9635	2701
781	9648	2689
782	9660	2677
783	9672	2664
784	9684	2652
785	9695	2639
786	9708	2627
787	9720	2615
788	9733	2602
789	9746	2590
790	9758	2578
791	9769	2565
792	9782	2553
793	9795	2541
794	9808	2529
795	9820	2516
796	9833	2504
797	9846	2492
798	9859	2480
799	9871	2467
800	9882	2455
801	9895	2442
802	9907	2430
803	9918	2417
804	9931	2405
805	9944	2393
806	9956	2381
807	9969	2369
808	9983	2357
809	9998	2345
810	10010	2332
811	10022	2320
812	10034	2307
813	10046	2295
814	10059	2283
815	10071	2271
816	10083	2258
817	10095	2246
818	10108	2234
819	10122	2221
820	10133	2209
821	10145	2196
822	10157	2184
823	10169	2172
824	10181	2159
825	10192	2147
826	10205	2134
827	10217	2122
828	10230	2110
829	10244	2098
830	10258	2086
831	10270	2073
832	10282	2061
833	10294	2049
834	10307	2036
835	10319	2024
836	10331	2011
837	10342	1999
838	10355	1987
839	10367	1974
840	10379	1962
841	10390	1949
842	10402	1937
843	10414	1925
844	10429	1913
845	10441	1900
846	10452	1888
847	10463	1875
848	10475	1863
849	10489	1851
850	10500	1838
851	10512	1826
852	10523	1813
853	10535	1801
854	10548	1788
855	10561	1776
856	10573	1764
857	10586	1752
858	10599	1739
859	10611	1727
860	10624	1715
861	10636	1702
862	10650	1690
863	10662	1678
864	10675	1666
865	10688	1653
866	10700	1641
867	10712	1629
868	10724	1616
869	10736	1604
870	10747	1591
871	10759	1579
872	10771	1567
873	10783	1554
874	10794	1542
875	10806	1529
876	10818	1517
877	10831	1505
878	10845	1492
879	10857	1480
880	10872	1468
881	10887	1456
882	10902	1444
883	10915	1432
884	10928	1420
885	10939	1407
886	10953	1395
887	10966	1383
888	10978	1370
889	10990	1358
890	11001	1345
891	11013	1333
892	11027	1321
893	11039	1308
894	11051	1296
895	11063	1284
896	11076	1271
897	11088	1259
898	11100	1247
899	11112	1234
900	11123	1222
901	11135	1209
902	11147	1197
903	11161	1185
904	11173	1172
905	11185	1160
906	11197	1148
907	11211	1135
908	11225	1123
909	11238	1111
910	11251	1099
911	11262	1086
912	11274	1074
913	11286	1061
914	11297	1049
915	11309	1037
916	11321	1024
917	11334	1012
918	11347	1000
919	11359	987
920	11370	975
921	11382	962
922	11394	950
923	11407	938
924	11420	925
925	11432	913
926	11444	901
927	11455	888
928	11468	876
929	11480	864
930	11492	851
931	11505	839
932	11517	827
933	11529	814
934	11541	802
935	11553	789
936	11565	777
937	11576	765
938	11588	752
939	11599	740
940	11611	728
941	11624	715
942	11636	703
943	11649	691
944	11661	678
945	11673	666
946	11684	653
947	11695	641
948	11708	629
949	11720	616
950	11732	604
951	11745	592
952	11757	579
953	11769	567
954	11782	555
955	11793	542
956	11805	530
957	11816	518
958	11828	505
959	11840	493
960	11853	481
961	11868	468
962	11881	456
963	11893	444
964	11906	431
965	11918	419
966	11931	407
967	11943	394
968	11955	382
969	11967	370
970	11979	357
971	11992	345
972	12003	333
973	12015	320
974	12027	308
975	12039	296
976	12052	283
977	12064	271
978	12076	259
979	12087	246
980	12099	234
981	12112	222
982	12124	209
983	12136	197
984	12149	185
985	12161	172
986	12172	160
987	12184	147
988	12196	135
989	12207	123
990	12219	110
991	12231	98
992	12244	86
993	12255	73
994	12268	61
995	12279	49
996	12291	36
997	12302	24
998	12314	12
999	12325	0
