iter	RMSE
0	20635.96513
1	18786.88862
2	17134.26677
3	15653.54819
4	14347.02077
5	13177.94162
6	12127.48351
7	11201.08044
8	10379.76489
9	9663.163619
10	9042.336742
11	8483.204673
12	8003.627934
13	7575.551445
14	7201.969605
15	6885.941218
16	6606.404868
17	6372.876421
18	6177.726516
19	6007.852763
20	5858.514245
21	5733.615484
22	5630.104755
23	5533.105644
24	5456.862679
25	5382.330662
26	5329.108685
27	5278.170592
28	5229.137023
29	5192.226509
30	5156.524153
31	5129.52155
32	5100.230269
33	5079.060034
34	5059.896094
35	5035.958589
36	5021.89259
37	4995.963748
38	4981.880226
39	4968.293569
40	4945.593666
41	4931.054665
42	4921.711585
43	4909.198577
44	4900.951372
45	4894.117603
46	4886.060063
47	4881.322415
48	4873.374724
49	4864.83206
50	4859.394776
51	4851.818399
52	4848.234079
53	4842.56861
54	4833.70918
55	4830.340803
56	4822.612817
57	4808.72326
58	4803.213242
59	4798.055791
60	4794.867762
61	4786.193668
62	4780.342331
63	4765.72854
64	4762.211572
65	4756.134967
66	4749.995822
67	4740.604717
68	4733.682582
69	4730.241195
70	4724.523453
71	4714.42859
72	4707.345046
73	4704.548894
74	4697.875671
75	4692.082987
76	4685.138804
77	4678.907416
78	4674.84709
79	4668.940275
80	4663.933057
81	4658.626647
82	4651.386479
83	4647.844911
84	4641.743541
85	4636.06491
86	4631.460907
87	4621.712741
88	4619.913148
89	4614.561336
90	4611.555493
91	4603.597952
92	4597.863314
93	4591.992137
94	4587.325096
95	4583.898126
96	4581.81778
97	4577.187861
98	4572.226762
99	4569.376556
100	4565.749472
101	4562.108364
102	4560.00406
103	4557.181272
104	4552.38912
105	4549.854274
106	4546.033427
107	4543.737267
108	4541.194082
109	4536.163825
110	4534.04855
111	4532.696887
112	4527.805512
113	4524.985336
114	4522.736908
115	4520.192471
116	4515.351699
117	4511.346722
118	4505.195913
119	4503.974975
120	4501.978223
121	4497.59029
122	4494.490549
123	4493.069527
124	4488.46204
125	4486.0666
126	4484.57142
127	4481.1099
128	4476.039183
129	4473.540398
130	4471.056099
131	4469.712346
132	4464.743853
133	4458.484482
134	4454.198505
135	4451.661508
136	4449.55673
137	4448.466921
138	4443.764251
139	4439.894692
140	4437.732965
141	4436.159149
142	4432.193977
143	4430.99375
144	4429.86575
145	4427.970497
146	4426.557506
147	4424.197739
148	4421.366183
149	4419.076546
150	4415.311843
151	4410.300382
152	4407.894386
153	4406.690832
154	4405.217349
155	4401.527205
156	4398.760671
157	4396.53884
158	4395.400278
159	4393.71885
160	4390.732098
161	4386.598831
162	4385.19263
163	4384.502285
164	4379.670377
165	4377.15611
166	4375.444724
167	4373.331432
168	4372.036397
169	4368.024364
170	4365.415369
171	4363.188106
172	4361.928371
173	4359.085068
174	4358.28862
175	4356.939181
176	4356.007775
177	4353.934548
178	4352.486796
179	4349.895907
180	4347.559752
181	4345.474375
182	4344.549139
183	4343.073469
184	4340.868734
185	4340.283534
186	4337.751052
187	4336.71052
188	4335.921077
189	4335.204266
190	4333.236797
191	4330.302127
192	4327.944951
193	4324.990815
194	4324.448888
195	4322.646153
196	4318.979905
197	4317.802801
198	4316.010863
199	4314.121728
200	4311.972742
201	4309.119894
202	4308.000037
203	4307.286261
204	4305.545556
205	4304.853624
206	4301.353054
207	4299.725962
208	4297.069864
209	4294.703939
210	4293.937127
211	4291.642685
212	4289.924181
213	4287.643424
214	4284.839465
215	4281.707168
216	4280.021746
217	4279.474949
218	4276.460796
219	4275.491915
220	4272.974779
221	4271.299572
222	4269.491098
223	4267.736582
224	4266.136021
225	4264.362809
226	4263.70835
227	4263.244249
228	4261.334316
229	4260.760397
230	4258.688932
231	4256.747577
232	4255.65582
233	4253.324669
234	4252.624335
235	4251.874225
236	4250.664338
237	4249.363739
238	4248.530865
239	4246.78073
240	4245.261244
241	4243.178128
242	4241.83019
243	4240.929769
244	4238.695658
245	4237.885091
246	4235.975662
247	4233.197516
248	4230.477979
249	4228.21008
250	4227.470127
251	4224.678057
252	4222.06194
253	4221.242918
254	4219.513124
255	4217.510847
256	4215.161479
257	4214.052917
258	4212.509306
259	4211.23692
260	4208.44157
261	4205.865906
262	4203.182337
263	4202.675747
264	4201.716672
265	4200.148463
266	4197.27244
267	4195.385569
268	4194.591245
269	4192.620322
270	4191.883458
271	4191.332666
272	4189.715125
273	4189.008364
274	4187.040343
275	4186.593963
276	4184.741981
277	4183.543831
278	4182.373061
279	4181.838066
280	4179.875348
281	4178.131026
282	4177.298479
283	4175.322594
284	4173.221867
285	4170.623831
286	4169.341717
287	4167.411223
288	4165.72081
289	4164.438463
290	4163.773915
291	4161.231212
292	4159.871137
293	4158.21753
294	4156.565257
295	4155.163848
296	4152.324537
297	4150.85669
298	4150.287377
299	4149.635716
300	4149.241941
301	4148.394593
