iter	Passed	Remaining
0	24	24554
1	37	18694
2	50	16673
3	62	15622
4	75	15075
5	88	14670
6	100	14290
7	112	13979
8	125	13779
9	137	13616
10	149	13416
11	162	13349
12	174	13234
13	187	13172
14	199	13101
15	211	13012
16	224	12955
17	237	12929
18	249	12907
19	262	12854
20	275	12826
21	288	12809
22	300	12774
23	313	12748
24	325	12705
25	338	12677
26	351	12660
27	363	12631
28	377	12635
29	390	12614
30	402	12595
31	415	12576
32	427	12537
33	439	12493
34	452	12474
35	464	12448
36	476	12410
37	490	12414
38	503	12410
39	516	12391
40	528	12369
41	541	12355
42	553	12325
43	565	12297
44	578	12274
45	591	12263
46	603	12236
47	615	12203
48	628	12200
49	641	12186
50	653	12161
51	666	12144
52	678	12122
53	691	12119
54	705	12116
55	717	12098
56	730	12091
57	743	12074
58	756	12064
59	768	12047
60	781	12030
61	794	12025
62	807	12011
63	821	12009
64	834	11998
65	846	11983
66	859	11966
67	871	11948
68	884	11936
69	897	11921
70	910	11912
71	923	11896
72	935	11882
73	948	11867
74	962	11870
75	975	11856
76	987	11841
77	1001	11835
78	1013	11820
79	1026	11809
80	1039	11793
81	1052	11778
82	1065	11767
83	1078	11757
84	1091	11752
85	1105	11749
86	1118	11739
87	1132	11741
88	1145	11725
89	1159	11726
90	1172	11716
91	1187	11715
92	1201	11722
93	1214	11701
94	1228	11698
95	1241	11686
96	1253	11667
97	1266	11661
98	1278	11640
99	1291	11627
100	1306	11624
101	1319	11614
102	1331	11593
103	1344	11585
104	1358	11578
105	1370	11562
106	1385	11561
107	1398	11552
108	1410	11532
109	1423	11513
110	1436	11506
111	1449	11493
112	1462	11478
113	1475	11469
114	1488	11457
115	1501	11442
116	1514	11430
117	1527	11418
118	1541	11411
119	1555	11403
120	1568	11393
121	1581	11380
122	1593	11364
123	1606	11350
124	1619	11338
125	1633	11333
126	1646	11318
127	1659	11306
128	1673	11298
129	1685	11280
130	1698	11267
131	1712	11262
132	1726	11256
133	1739	11244
134	1754	11241
135	1767	11227
136	1780	11212
137	1791	11192
138	1805	11182
139	1818	11172
140	1832	11161
141	1844	11145
142	1858	11136
143	1871	11123
144	1883	11108
145	1896	11096
146	1909	11081
147	1921	11064
148	1935	11055
149	1948	11040
150	1962	11032
151	1976	11026
152	1989	11016
153	2002	11002
154	2015	10987
155	2030	10982
156	2043	10970
157	2055	10956
158	2069	10943
159	2081	10928
160	2095	10918
161	2108	10905
162	2121	10891
163	2132	10872
164	2147	10865
165	2161	10858
166	2174	10845
167	2187	10831
168	2200	10817
169	2214	10811
170	2227	10800
171	2241	10789
172	2254	10774
173	2266	10760
174	2279	10745
175	2292	10732
176	2305	10721
177	2318	10705
178	2330	10690
179	2344	10682
180	2358	10671
181	2372	10662
182	2385	10649
183	2397	10634
184	2411	10622
185	2433	10649
186	2447	10639
187	2461	10629
188	2474	10617
189	2487	10604
190	2500	10592
191	2513	10576
192	2525	10559
193	2539	10551
194	2552	10535
195	2564	10520
196	2577	10506
197	2590	10492
198	2604	10482
199	2618	10472
200	2630	10454
201	2643	10443
202	2656	10429
203	2670	10419
204	2683	10407
205	2696	10393
206	2709	10380
207	2723	10371
208	2738	10365
209	2753	10357
210	2766	10344
211	2780	10333
212	2792	10319
213	2806	10309
214	2822	10303
215	2836	10294
216	2849	10281
217	2862	10269
218	2876	10258
219	2889	10243
220	2901	10228
221	2914	10213
222	2927	10201
223	2940	10187
224	2953	10172
225	2967	10161
226	2980	10150
227	2993	10135
228	3006	10122
229	3020	10111
230	3033	10098
231	3047	10087
232	3060	10073
233	3073	10062
234	3087	10049
235	3100	10038
236	3113	10024
237	3126	10009
238	3138	9994
239	3152	9984
240	3166	9971
241	3179	9958
242	3192	9945
243	3206	9934
244	3220	9924
245	3232	9909
246	3247	9900
247	3261	9889
248	3275	9877
249	3288	9864
250	3301	9850
251	3314	9839
252	3327	9825
253	3340	9811
254	3352	9795
255	3366	9785
256	3380	9773
257	3394	9762
258	3407	9750
259	3420	9734
260	3432	9718
261	3445	9706
262	3458	9692
263	3472	9679
264	3484	9665
265	3498	9653
266	3512	9642
267	3526	9631
268	3538	9615
269	3551	9603
270	3565	9590
271	3577	9575
272	3591	9563
273	3604	9550
274	3617	9537
275	3630	9523
276	3643	9509
277	3656	9495
278	3669	9482
279	3682	9468
280	3694	9453
281	3709	9444
282	3722	9431
283	3735	9418
284	3749	9407
285	3763	9394
286	3776	9381
287	3788	9367
288	3802	9354
289	3814	9339
290	3827	9326
291	3840	9311
292	3853	9298
293	3866	9285
294	3879	9271
295	3892	9257
296	3906	9246
297	3920	9235
298	3934	9223
299	3946	9208
300	3958	9193
301	3971	9178
302	3983	9164
303	3997	9152
304	4010	9138
305	4022	9123
306	4035	9109
307	4048	9095
308	4061	9082
309	4073	9067
310	4087	9054
311	4100	9042
312	4114	9031
313	4128	9018
314	4140	9004
